"","area_cat"
"1","Zone 1_(1.02e+03,1.43e+03]"
"2","Zone 1_(1.43e+03,3.27e+03]"
"3","Zone 1_(144,1.02e+03]"
"4","Zone 1_(45,144]"
"5","Zone 1_[10,45]"
"6","Zone 2_(215,467]"
"7","Zone 2_(467,805]"
"8","Zone 2_(49,215]"
"9","Zone 2_(805,1.59e+03]"
"10","Zone 2_[10,49]"
"11","Zone 3_(1.78e+03,3.26e+03]"
"12","Zone 3_(182,1.78e+03]"
"13","Zone 3_(3.26e+03,7.44e+03]"
"14","Zone 3_(7.44e+03,1.76e+04]"
"15","Zone 3_[10,182]"
"16","Zone 4_(1.32e+03,1.86e+03]"
"17","Zone 4_(175,429]"
"18","Zone 4_(429,1.32e+03]"
"19","Zone 4_(55,175]"
"20","Zone 4_[10,55]"
"21","Zone 5_(1.89e+03,3.97e+03]"
"22","Zone 5_(3.97e+03,9.66e+03]"
"23","Zone 5_(730,1.89e+03]"
"24","Zone 5_(9.66e+03,1.25e+04]"
"25","Zone 5_[10,730]"
"26","Zone 6_(150,163]"
"27","Zone 6_(163,228]"
"28","Zone 6_(228,1.29e+05]"
"29","Zone 6_(59,150]"
"30","Zone 6_[10,59]"
